id$fname$x1$x2$y1$y2$thickness$same_counter
5$function drawLine$173.0$227.0$127.0$127.0$1$1
6$function drawLine$177.0$223.0$123.0$123.0$1$1
7$function drawLine$173.0$227.0$273.0$273.0$1$1
8$function drawLine$177.0$223.0$277.0$277.0$1$1
9$function drawLine$127.0$127.0$173.0$227.0$1$1
10$function drawLine$123.0$123.0$177.0$223.0$1$1
11$function drawLine$273.0$273.0$173.0$227.0$1$1
12$function drawLine$277.0$277.0$177.0$223.0$1$1
14$function drawLine$160.5$160.5$160.5$110.5$1$1
15$function drawLine$164.5$164.5$164.5$114.5$1$1
16$function drawLine$160.5$110.5$160.5$160.5$1$1
17$function drawLine$164.5$114.5$164.5$164.5$1$1
18$function drawLine$214.5$214.5$160.5$110.5$1$1
19$function drawLine$210.5$210.5$164.5$114.5$1$1
20$function drawLine$214.5$264.5$160.5$160.5$1$1
21$function drawLine$210.5$260.5$164.5$164.5$1$1
22$function drawLine$160.5$160.5$214.5$264.5$1$1
23$function drawLine$164.5$164.5$210.5$260.5$1$1
24$function drawLine$164.5$114.5$210.5$210.5$1$1
25$function drawLine$160.5$110.5$214.5$214.5$1$1
26$function drawLine$164.5$214.5$260.5$260.5$1$1
27$function drawLine$160.5$210.5$264.5$264.5$1$1
28$function drawLine$260.5$260.5$164.5$214.5$1$1
29$function drawLine$264.5$264.5$160.5$210.5$1$1
30$function drawLine$160.5$214.5$110.5$110.5$1$1
31$function drawLine$164.5$210.5$114.5$114.5$1$1
32$function drawLine$114.5$114.5$164.5$210.5$1$1
33$function drawLine$110.5$110.5$160.5$214.5$1$1
39$function drawLine$185.5$185.5$160.5$110.5$1$1
40$function drawLine$189.5$189.5$164.5$114.5$1$1
41$function drawLine$185.5$135.5$160.5$160.5$1$1
42$function drawLine$189.5$139.5$164.5$164.5$1$1
43$function drawLine$239.5$239.5$160.5$110.5$1$1
44$function drawLine$235.5$235.5$164.5$114.5$1$1
45$function drawLine$239.5$289.5$160.5$160.5$1$1
46$function drawLine$235.5$285.5$164.5$164.5$1$1
47$function drawLine$189.5$239.5$264.5$264.5$1$1
48$function drawLine$185.5$235.5$260.5$260.5$1$1
49$function drawLine$139.5$139.5$164.5$214.5$1$1
50$function drawLine$135.5$135.5$160.5$210.5$1$1
51$function drawLine$185.5$239.5$110.5$110.5$1$1
52$function drawLine$189.5$235.5$114.5$114.5$1$1
53$function drawLine$285.5$285.5$164.5$210.5$1$1
54$function drawLine$289.5$289.5$160.5$214.5$1$1
60$function drawLine$160.5$160.5$185.5$135.5$1$1
61$function drawLine$164.5$164.5$189.5$139.5$1$1
62$function drawLine$160.5$110.5$185.5$185.5$1$1
63$function drawLine$164.5$114.5$189.5$189.5$1$1
64$function drawLine$160.5$160.5$239.5$289.5$1$1
65$function drawLine$164.5$164.5$235.5$285.5$1$1
66$function drawLine$164.5$114.5$235.5$235.5$1$1
67$function drawLine$160.5$110.5$239.5$239.5$1$1
68$function drawLine$160.5$210.5$135.5$135.5$1$1
69$function drawLine$164.5$214.5$139.5$139.5$1$1
70$function drawLine$260.5$260.5$185.5$235.5$1$1
71$function drawLine$264.5$264.5$189.5$239.5$1$1
77$function drawLine$239.5$239.5$185.5$135.5$1$1
78$function drawLine$235.5$235.5$189.5$139.5$1$1
79$function drawLine$239.5$289.5$185.5$185.5$1$1
80$function drawLine$235.5$285.5$189.5$189.5$1$1
81$function drawLine$185.5$185.5$239.5$289.5$1$1
82$function drawLine$189.5$189.5$235.5$285.5$1$1
83$function drawLine$189.5$139.5$235.5$235.5$1$1
84$function drawLine$185.5$135.5$239.5$239.5$1$1
85$function drawLine$185.5$235.5$139.5$139.5$1$1
86$function drawLine$189.5$239.5$135.5$135.5$1$1
87$function drawLine$139.5$139.5$185.5$235.5$1$1
88$function drawLine$135.5$135.5$189.5$239.5$1$1
93$function drawLine$177.0$223.0$123.0$123.0$1$1
94$function drawLine$173.0$227.0$273.0$273.0$1$1
95$function drawLine$177.0$223.0$277.0$277.0$1$1
96$function drawLine$127.0$127.0$173.0$227.0$1$1
97$function drawLine$123.0$123.0$177.0$223.0$1$1
98$function drawLine$273.0$273.0$173.0$227.0$1$1
99$function drawLine$277.0$277.0$177.0$223.0$1$1
100$function drawLine$164.5$164.5$164.5$114.5$1$1
101$function drawLine$160.5$110.5$160.5$160.5$1$1
102$function drawLine$164.5$114.5$164.5$164.5$1$1
103$function drawLine$214.5$214.5$160.5$110.5$1$1
104$function drawLine$210.5$210.5$164.5$114.5$1$1
105$function drawLine$214.5$264.5$160.5$160.5$1$1
106$function drawLine$210.5$260.5$164.5$164.5$1$1
