Name;NotAesthetic;Aesthetic;perceivedAesthetics;perceivedChaos
1.png;0,9791374;0,02086256;3;3
10.png;0,967099;0,032901037;3;3
100.png;0,97036976;0,029630188;4;2
101.png;0,9411168;0,058883168;4;2
102.png;0,9396372;0,060362805;4;2
103.png;0,961575;0,038425058;4;3
104.png;0,93621385;0,06378618;4;3
105.png;0,934788;0,06521196;4;3
106.png;0,97265786;0,027342128;3;3
107.png;0,95029485;0,049705137;3;3
108.png;0,9514643;0,04853574;3;3
109.png;0,96765244;0,032347556;3;3
11.png;0,9735091;0,026490962;1;7
110.png;0,9434897;0,0565104;3;3
111.png;0,93612796;0,06387202;2;3
112.png;0,9724434;0,027556574;1;6
113.png;0,9707273;0,029272735;1;6
114.png;0,9489064;0,05109358;1;7
115.png;0,9681142;0,031885758;1;7
116.png;0,9454987;0,054501377;1;7
117.png;0,95601106;0,0439889;1;7
118.png;0,68264663;0,31735343;7;7
119.png;0,97792745;0,022072533;7;7
12.png;0,95022887;0,049771138;1;1
120.png;0,93861437;0,06138565;6;8
121.png;0,23624778;0,7637523;6;7
122.png;0,3547378;0,6452621;6;7
123.png;0,6366377;0,3633623;6;7
124.png;0,9609347;0,039065275;1;7
125.png;0,9578767;0,042123288;1;7
126.png;0,94030905;0,059690982;2;7
127.png;0,9619381;0,03806186;1;8
128.png;0,97402644;0,02597354;1;8
129.png;0,98524654;0,014753378;1;8
13.png;0,9668151;0,03318484;3;4
130.png;0,36898598;0,631014;5;7
131.png;0,9407528;0,059247185;4;7
132.png;0,9336498;0,06635024;6;6
133.png;0,08531279;0,91468716;6;6
134.png;0,40655583;0,5934441;5;8
135.png;0,737413;0,262587;6;7
136.png;0,97265786;0,027342128;2;2
137.png;0,9339475;0,06605255;3;2
138.png;0,9361868;0,06381326;2;2
139.png;0,96765244;0,032347556;2;2
14.png;0,29848647;0,7015136;7;8
140.png;0,93743825;0,06256174;3;2
141.png;0,9319794;0,06802052;3;3
142.png;0,9733446;0,026655402;6;8
143.png;0,87888926;0,12111077;6;8
144.png;0,80832225;0,19167773;6;8
145.png;0,97110105;0,028898872;6;8
146.png;0,76157385;0,23842613;6;8
