Name;Not Aesthetic;Aesthetic
1.png;0,9791374;0,02086256
10.png;0,967099;0,032901037
100.png;0,97036976;0,029630188
101.png;0,9411168;0,058883168
102.png;0,9396372;0,060362805
103.png;0,961575;0,038425058
104.png;0,93621385;0,06378618
105.png;0,934788;0,06521196
106.png;0,97265786;0,027342128
107.png;0,95029485;0,049705137
108.png;0,9514643;0,04853574
109.png;0,96765244;0,032347556
11.png;0,9735091;0,026490962
110.png;0,9434897;0,0565104
111.png;0,93612796;0,06387202
112.png;0,9724434;0,027556574
113.png;0,9707273;0,029272735
114.png;0,9489064;0,05109358
115.png;0,9681142;0,031885758
116.png;0,9454987;0,054501377
117.png;0,95601106;0,0439889
118.png;0,68264663;0,31735343
119.png;0,97792745;0,022072533
12.png;0,95022887;0,049771138
120.png;0,93861437;0,06138565
121.png;0,23624778;0,7637523
122.png;0,3547378;0,6452621
123.png;0,6366377;0,3633623
124.png;0,9609347;0,039065275
125.png;0,9578767;0,042123288
126.png;0,94030905;0,059690982
127.png;0,9619381;0,03806186
128.png;0,97402644;0,02597354
129.png;0,98524654;0,014753378
13.png;0,9668151;0,03318484
130.png;0,36898598;0,631014
131.png;0,9407528;0,059247185
132.png;0,9336498;0,06635024
133.png;0,08531279;0,91468716
134.png;0,40655583;0,5934441
135.png;0,737413;0,262587
136.png;0,97265786;0,027342128
137.png;0,9339475;0,06605255
138.png;0,9361868;0,06381326
139.png;0,96765244;0,032347556
14.png;0,29848647;0,7015136
140.png;0,93743825;0,06256174
141.png;0,9319794;0,06802052
142.png;0,9733446;0,026655402
143.png;0,87888926;0,12111077
144.png;0,80832225;0,19167773
145.png;0,97110105;0,028898872
146.png;0,76157385;0,23842613
147.png;0,8576441;0,14235592
148.png;0,9655156;0,034484383
149.png;0,9583856;0,041614443
15.png;0,967099;0,032901037
150.png;0,9456522;0,054347835
151.png;0,9603039;0,039696075
152.png;0,9757579;0,024242079
153.png;0,9870135;0,012986526
154.png;0,36897358;0,63102645
155.png;0,9334578;0,0665422
156.png;0,8983421;0,10165785
157.png;0,07706998;0,92293006
158.png;0,39202842;0,60797155
159.png;0,74092853;0,25907153
16.png;0,9808925;0,01910756
160.png;0,9542134;0,045786638
161.png;0,9619319;0,038068116
162.png;0,9239045;0,07609556
163.png;0,9729134;0,027086651
164.png;0,32008266;0,67991734
165.png;0,9393914;0,06060867
166.png;0,9239045;0,07609556
167.png;0,95476586;0,045234185
